GWL;x;y;eusr5000;aet;pdsi;pet;soil;srad;swe;NDVI;DHM
141.3187;420866.1248;5376787.964;133.5734;51.7025;-1.4128;63.8683;51.2642;132.2917;2.375;0.6831;141
144.7184;416098.0244;5369590.824;133.5734;50.445;-1.4928;64.0125;49.765;132.8192;2.05;0.8285;152
94.3065;474573.8759;5494518.17;133.5734;47.3183;-1.9264;64.515;56.4617;126.2225;2.2583;0.6674;97
98.7593;467496.6605;5459209.18;120.7396;46.3758;-1.848;64.4892;50.1192;129.06;2.1333;0.804;113
190.8846;396884.6251;5317011.684;120.7396;50.9108;-0.8855;66.1508;41.6825;135.8892;2.325;0.7448;192
132.649;413599.049;5384015.099;120.7396;50.0167;-1.6502;65.6142;48.6708;132.1383;1.6083;0.6725;136
175.7966;408473.0091;5335870.221;133.5734;52.6342;-1.1058;63.78;47.9158;134.0083;2.7083;0.6516;178
191.4132;410594.1629;5328009.314;133.5734;52.3958;-1.1159;64.0033;44.3533;134.465;2.4917;0.859;201
227.3664;400664.1567;5305133.431;133.5734;49.28;-0.9268;64.5325;37.165;135.5692;2.1833;0.568;230
124.8168;424734.6084;5394380.99;120.7396;49.8175;-1.5284;62.5192;48.1925;132.0683;2.25;0.6272;126
206.6075;414846.4911;5327902.351;133.5734;52.3633;-1.1239;63.1792;44.2625;134.0992;2.6417;0.595;208
116.2108;438272.2132;5405387.62;133.5734;51.0792;-1.2931;64.1233;47.0792;131.8975;2.5417;0.8353;126
127.157;427338.566;5393951.162;120.7396;50.3617;-1.4642;62.8692;47.9358;132.0217;2.725;0.86;132
99.94;450676.2993;5434735.964;120.7396;46.2917;-1.7238;64.6425;44.1775;130.6742;2.125;0.7321;103
109.3696;442989.342;5416505.197;120.7396;49.0583;-1.4246;63.0875;46.6533;131.9092;2.7667;0.8441;117
92.5195;460979.2593;5463727.415;120.7396;46.2167;-1.845;65.075;47.9642;128.6642;1.8333;0.5688;97
100.9972;452003.7744;5434946.877;120.7396;46.42;-1.7304;64.6675;44.895;130.7842;2.0917;0.4876;111
92.8109;469560.873;5482608.91;92.1853;46.7917;-1.916;65.2233;50.7658;126.6883;1.6;0.5193;102
108.8258;465553.4144;5438269.53;133.5734;46.9783;-1.8172;64.0508;49.2833;130.0117;2.3583;0.5205;113
96.7282;476282.1769;5475494.674;92.1853;50.6567;-1.8718;65.0225;59.105;127.28;2.825;0.5328;110
98.1383;477055.8639;5469075.213;92.1853;49.9942;-1.8281;65.665;56.4942;127.2592;2.2;0.4903;111
207.0464;412556.3958;5323443.099;133.5734;52.6542;-1.1082;65.0767;42.2742;134.725;2.0;0.8568;219
149.1652;408735.956;5361113.195;120.7396;50.4708;-1.3577;64.6025;48.5742;133.2633;1.9417;0.627;148
